natural_object artifact
territorial_waters high_sea
cacodemon eudemon
eudemon cacodemon
adult juvenile
captor liberator
female male
juvenile adult
leader follower
male female
nonreligious_person religious_person
nonworker worker
religious_person nonreligious_person
worker nonworker
nondrinker drinker
defendant plaintiff
achiever loser
acquaintance stranger
antagonist agonist
agonist antagonist
friend foe
amateur professional
ancestor descendant
aunt uncle
bad_egg good_egg
bad_guy good_guy
bad_person good_person
bear bull
borrower lender
brother sister
bull bear
child parent
citizen noncitizen
civilian serviceman
classicist romanticist
clergyman layman
conservative liberal
conformist nonconformist
nonconformist conformist
Nonconformist Anglican
Anglican Nonconformist
creditor debtor
daughter son
girl boy
debtor creditor
descendant ancestor
dove hawk
draftee volunteer
drinker nondrinker
driver nondriver
egalitarian elitist
elitist egalitarian
emotional_person unemotional_person
employee employer
employer employee
expert_witness lay_witness
extrovert introvert
father mother
male_parent female_parent
fat_person thin_person
female_aristocrat male_aristocrat
female_offspring male_offspring
female_sibling male_sibling
female_child male_child
girl boy
foe friend
follower leader
noncitizen citizen
good_egg bad_egg
good_guy bad_guy
good_person bad_person
granter withholder
hawk dove
heir_apparent heir_presumptive
heir_presumptive heir_apparent
husband wife
inferior superior
inpatient outpatient
introvert extrovert
king queen
male_monarch female_monarch
Lady Lord
noblewoman nobleman
layman clergyman
lay_witness expert_witness
lender borrower
liar square_shooter
liberal conservative
liberator captor
libertarian necessitarian
liveborn_infant stillborn_infant
Lord Lady
nobleman noblewoman
loser winner
loser winner
loser achiever
lumper splitter
male_aristocrat female_aristocrat
male_child female_child
boy girl
male_offspring female_offspring
male_sibling female_sibling
man woman
man woman
masochist sadist
member nonmember
nonmember member
mother father
female_parent male_parent
necessitarian libertarian
nephew niece
niece nephew
nondriver driver
nonpartisan partisan
nonresident resident
nonsmoker smoker
optimist pessimist
outpatient inpatient
parent child
partisan nonpartisan
pessimist optimist
plaintiff defendant
professional amateur
queen king
female_monarch male_monarch
eremite cenobite
cenobite eremite
generalist specialist
resident nonresident
romanticist classicist
sadist masochist
serviceman civilian
sister brother
sitter stander
smoker nonsmoker
son daughter
boy girl
special_agent general_agent
specialist generalist
splitter lumper
square_shooter liar
stander sitter
stillborn_infant liveborn_infant
unemotional_person emotional_person
stranger acquaintance
stranger acquaintance
superior inferior
technophile technophobe
technophobe technophile
thin_person fat_person
uncle aunt
general_agent special_agent
volunteer draftee
wife husband
winner loser
winner loser
withholder granter
woman man
woman man
alternating_current direct_current
attraction repulsion
repulsion attraction
centrifugal_force centripetal_force
centripetal_force centrifugal_force
positive_charge negative_charge
negative_charge positive_charge
direct_current alternating_current
opacity transparency
transparency opacity
acrocarp pleurocarp
pleurocarp acrocarp
Phanerogamae Cryptogamia
Cryptogamia Phanerogamae
mushroom toadstool
toadstool mushroom
cultivated_plant weed
weed cultivated_plant
evergreen_plant deciduous_plant
deciduous_plant evergreen_plant
gain loss
income outgo
easy_money tight_money
tight_money easy_money
paper_profit paper_loss
paper_loss paper_profit
winnings losings
outgo income
payment nonpayment
nonpayment payment
loss gain
losings winnings
secured_bond unsecured_bond
unsecured_bond secured_bond
cash_account margin_account
margin_account cash_account
active_trust passive_trust
passive_trust active_trust
credit cash
cash credit
credit debit
debit credit
accrual_basis cash_basis
cash_basis accrual_basis
listed_security unlisted_security
unlisted_security listed_security
activation inactivation
anabolism catabolism
anamorphism katamorphism
anastalsis peristalsis
anovulation ovulation
asynchronous_operation synchronous_operation
catabolism anabolism
cenogenesis palingenesis
decrease increase
decrement increment
deflation disinflation
devolution evolution
demand supply
evolution devolution
disinflation deflation
development nondevelopment
inactivation activation
increase decrease
increment decrement
inflation deflation
inflationary_spiral deflationary_spiral
deflationary_spiral inflationary_spiral
inflow outflow
influx efflux
irreversible_process reversible_process
katamorphism anamorphism
narrowing widening
nondevelopment development
outflow inflow
efflux influx
ovulation anovulation
palingenesis cenogenesis
parallel_operation serial_operation
peristalsis anastalsis
proliferation non-proliferation
reversible_process irreversible_process
serial_operation parallel_operation
sink source
source sink
supply demand
synchronous_operation asynchronous_operation
widening narrowing
deficit lead
lead deficit
aliquot aliquant
aliquant aliquot
minimum maximum
maximum minimum
connectedness unconnectedness
unconnectedness connectedness
relevance irrelevance
materiality immateriality
applicability inapplicability
relatedness unrelatedness
irrelevance relevance
inapplicability applicability
immateriality materiality
unrelatedness relatedness
transitivity intransitivity
intransitivity transitivity
active_voice passive_voice
passive_voice active_voice
affinity consanguinity
consanguinity affinity
windward leeward
leeward windward
synchronism asynchronism
synchronization desynchronization
synchronizing desynchronizing
asynchronism synchronism
desynchronization synchronization
desynchronizing synchronizing
former latter
latter former
positivity negativity
positiveness negativeness
negativity positivity
negativeness positiveness
convex_polygon concave_polygon
concave_polygon convex_polygon
curve straight_line
straight_line curve
oblique_triangle right_triangle
right_triangle oblique_triangle
parallelogram trapezium
trapezium parallelogram
reentrant_angle salient_angle
salient_angle reentrant_angle
right_angle oblique_angle
oblique_angle right_angle
proportion disproportion
disproportion proportion
utopia dystopia
dystopia utopia
acceptance rejection
disequilibrium equilibrium
equilibrium disequilibrium
exclusion inclusion
inclusion exclusion
rejection acceptance
stigmatism astigmatism
astigmatism stigmatism
high_status low_status
back_burner front_burner
front_burner back_burner
low_status high_status
being nonbeing
existence nonexistence
genuineness spuriousness
reality unreality
truth falsity
presence absence
hereness thereness
thereness hereness
allopatry sympatry
sympatry allopatry
nonbeing being
nonexistence existence
unreality reality
falsity truth
spuriousness genuineness
absence presence
endogamy exogamy
exogamy endogamy
employment unemployment
unemployment employment
order disorder
stability instability
peace war
agreement disagreement
disorder order
immunocompetence immunodeficiency
immunodeficiency immunocompetence
instability stability
war peace
hot_war cold_war
cold_war hot_war
disagreement agreement
light dark
dark light
happiness unhappiness
unhappiness happiness
innocence guilt
guilt innocence
balance imbalance
imbalance balance
motion motionlessness
motionlessness motion
action inaction
activity inactivity
activeness inactiveness
inaction action
inactivity activity
inactiveness activeness
drunkenness soberness
soberness drunkenness
wakefulness sleepiness
hypersomnia insomnia
insomnia hypersomnia
sleepiness wakefulness
estrus anestrus
anestrus estrus
hypercapnia hypocapnia
hypocapnia hypercapnia
hyperthermia hypothermia
hypothermia hyperthermia
impotence potence
impotency potency
infertility fertility
good_health ill_health
fertility infertility
potency impotency
potence impotence
ill_health good_health
functional_disorder organic_disorder
organic_disorder functional_disorder
illness wellness
unwellness wellness
hyperparathyroidism hypoparathyroidism
hypoparathyroidism hyperparathyroidism
hypertension hypotension
hypotension hypertension
hyperthyroidism hypothyroidism
hypothyroidism hyperthyroidism
hypervolemia hypovolemia
hypovolemia hypervolemia
hypercalcemia hypocalcemia
hypocalcemia hypercalcemia
hyperkalemia hypokalemia
hypokalemia hyperkalemia
hypernatremia hyponatremia
hyponatremia hypernatremia
hyperpigmentation hypopigmentation
hypopigmentation hyperpigmentation
hyperglycemia hypoglycemia
hypoglycemia hyperglycemia
mental_health mental_illness
sanity insanity
mental_illness mental_health
neurotic_depression psychotic_depression
psychotic_depression neurotic_depression
insanity sanity
depression elation
low_spirits high
elation depression
high low_spirits
separation union
discontinuity continuity
disconnectedness connectedness
incoherence coherence
union separation
connectedness disconnectedness
coherence incoherence
association disassociation
disassociation association
continuity discontinuity
improvement decline
decline improvement
maturity immaturity
ripeness greenness
immaturity maturity
greenness ripeness
prominence obscurity
obscurity prominence
honor dishonor
fame infamy
esteem disesteem
disesteem esteem
repute disrepute
fame infamy
infamy fame
dishonor honor
disrepute repute
infamy fame
comfort discomfort
discomfort comfort
well-being ill-being
wellness illness
ill-being well-being
fullness emptiness
solidity hollowness
emptiness fullness
hollowness solidity
perfection imperfection
completeness incompleteness
incompleteness completeness
imperfection perfection
valgus varus
varus valgus
good_fortune misfortune
good_luck bad_luck
strength weakness
weakness strength
success failure
misfortune good_fortune
bad_luck good_luck
failure success
solvency insolvency
insolvency solvency
possibility impossibility
impossibility possibility
purity impurity
impurity purity
wealth poverty
poverty wealth
sanitariness unsanitariness
unsanitariness sanitariness
cleanness dirtiness
orderliness disorderliness
order disorder
tidiness untidiness
dirtiness cleanness
disorderliness orderliness
disorder order
untidiness tidiness
normality abnormality
typicality atypicality
abnormality normality
atypicality typicality
biodegradable_pollution nonbiodegradable_pollution
nonbiodegradable_pollution biodegradable_pollution
anticyclone cyclone
cyclone anticyclone
good_weather bad_weather
bad_weather good_weather
unsusceptibility susceptibility
susceptibility unsusceptibility
wetness dryness
dryness wetness
safety danger
security insecurity
secureness insecureness
danger safety
insecurity security
insecureness secureness
tonicity atonicity
atonicity tonicity
fitness unfitness
soundness unsoundness
unfitness fitness
myopia hyperopia
hyperopia myopia
unsoundness soundness
homozygosity heterozygosity
heterozygosity homozygosity
hypertonia hypotonia
hypertonus hypotonus
hypertonicity hypotonicity
hypotonia hypertonia
hypotonus hypertonus
hypotonicity hypertonicity
hypertonicity hypotonicity
hypotonicity hypertonicity
leaded_gasoline unleaded_gasoline
activator inhibitor
catalyst anticatalyst
inhibitor activator
anticatalyst catalyst
conductor insulator
insulator conductor
exon intron
intron exon
high_explosive low_explosive
low_explosive high_explosive
hard_water soft_water
saltwater fresh_water
fresh_water saltwater
endotoxin exotoxin
exotoxin endotoxin
soft_water hard_water
unleaded_gasoline leaded_gasoline
downtime uptime
uptime downtime
work_time time_off
time_off work_time
past future
future past
workday rest_day
rest_day workday
birth death
death birth
majority minority
minority majority
day night
night day
sunrise sunset
sunset sunrise
summer_solstice winter_solstice
winter_solstice summer_solstice
vernal_equinox autumnal_equinox
autumnal_equinox vernal_equinox
regulation_time overtime
overtime regulation_time
high_season off-season
off-season high_season
rainy_season dry_season
dry_season rainy_season
top bottom
bottom top
beginning end
middle beginning
end beginning
acceleration deceleration
deceleration acceleration
